Concurso,Data do Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Rateio Faixa 1,Rateio Faixa 2,Rateio Faixa 3
137,17/10/1998,15,16,19,22,26,49,0,88,6701,0,"12675,49","166,13"
138,24/10/1998,5,14,27,37,40,41,0,86,6953,0,"14074,36","173,74"
139,31/10/1998,3,13,26,27,41,42,2,179,9401,"3902486,14","7216,46","137,14"
140,7/11/1998,7,31,41,44,46,55,0,45,4945,0,"36581,33","332,24"
141,14/11/1998,10,13,22,41,42,58,0,119,10533,0,"20106,1","226,7"
142,21/11/1998,8,15,19,20,54,59,0,162,13991,0,"18143,56","209,66"
143,28/11/1998,6,18,20,40,50,53,0,144,10994,0,"24792,99","324,1"
144,5/12/1998,8,32,36,44,45,55,1,257,23952,"33597755,21","20952,14","224,38"
145,12/12/1998,15,16,31,41,43,51,0,71,3389,0,"15061,27","314,91"
146,19/12/1998,25,32,34,42,51,60,0,51,4079,0,"23923,45","298,52"
147,24/12/1998,6,16,23,24,28,38,1,75,5418,"3805750,38","11760,17","162,48"
148,31/12/1998,32,35,41,55,58,59,0,15,2322,0,"53660,04","345,95"
149,9/1/1999,7,11,20,28,45,48,0,106,6290,0,"9795,13","164,74"
150,16/01/1999,12,44,50,52,54,55,0,56,5540,0,"36378,71",367
151,23/01/1999,3,16,20,43,52,56,1,152,9869,"24091811,02","14678,07","225,62"
152,30/01/1999,5,12,15,29,51,58,0,75,5041,0,"11562,39","172,03"
153,6/2/1999,2,30,31,42,45,47,0,47,4218,0,"22846,45","254,57"
154,13/02/1999,8,10,24,33,45,48,0,144,9252,0,"7888,29","122,78"
155,20/02/1999,12,30,32,35,43,44,1,67,4974,"4988808,21","16126,32","217,22"
156,27/02/1999,17,23,42,49,52,55,0,74,4455,0,"11018,1","183,02"
157,6/3/1999,4,13,17,21,41,44,1,134,8894,"2140030,92","7224,03","108,84"
158,13/03/1999,4,14,17,43,51,58,0,31,3630,0,"25856,53","220,81"
159,20/03/1999,9,11,16,35,50,58,1,57,4124,"2038170,67","15735,49","217,49"
160,27/03/1999,2,13,42,52,54,58,0,74,6132,0,"19431,89","234,5"
161,3/4/1999,6,25,30,37,39,41,0,95,6865,0,"14430,61","199,69"
162,10/4/1999,21,23,33,38,48,51,0,92,7244,0,"20941,3","265,96"
163,17/04/1999,8,27,36,41,53,56,2,146,10793,"8975833,36","15657,23","211,8"
164,24/04/1999,4,10,14,19,28,44,0,111,8386,0,"7595,63","100,54"
165,1/5/1999,10,19,23,35,39,56,2,75,5378,"1044444,54","11968,35","166,91"
166,8/5/1999,12,13,22,57,59,60,0,47,3371,0,"17424,67","242,95"
167,15/05/1999,1,11,28,33,38,48,1,82,4997,"2100980,21","11364,11","186,48"
168,22/05/1999,2,9,31,35,45,50,0,48,3528,0,"15743,7","214,2"
169,29/05/1999,1,13,21,37,51,52,0,65,4489,0,"13679,08","198,07"
170,5/6/1999,7,41,46,51,55,58,0,50,6257,0,"32383,95","258,78"
171,12/6/1999,4,27,40,43,46,54,1,134,10378,"16052410,83","14983,3","193,46"
172,19/06/1999,10,14,26,35,36,49,0,64,4592,0,"13460,12","186,89"
173,26/06/1999,17,28,29,42,49,50,1,40,3610,"2148316,42","23220,41","256,32"
174,3/7/1999,11,22,23,36,52,59,0,44,3217,0,"17846,85","243,18"
175,10/7/1999,1,10,13,20,42,50,0,114,7058,0,"8094,08","130,25"
176,17/07/1999,1,3,4,28,45,53,0,62,5405,0,"16696,39","190,8"
177,24/07/1999,22,35,38,39,41,59,0,52,4408,0,"21716,29","255,21"
178,31/07/1999,5,15,19,26,27,33,1,198,13086,"6129539,43","6240,11","94,07"
179,7/8/1999,5,6,23,26,27,53,0,78,5646,0,"10281,59","141,51"
180,14/08/1999,6,23,29,39,51,60,0,111,6978,0,"15907,98","252,09"
181,21/08/1999,1,27,33,35,51,55,0,182,11797,0,"11127,07","171,02"
182,28/08/1999,3,5,10,28,46,60,0,239,17413,0,"9954,78","136,13"
183,4/9/1999,2,7,11,16,40,44,0,306,20677,0,"9468,79","139,6"
184,11/9/1999,9,16,21,34,41,60,0,217,15462,0,"14699,97","205,53"
185,18/09/1999,17,22,43,46,55,59,0,366,24849,0,"12275,86","180,13"
186,25/09/1999,14,23,24,25,26,51,0,352,31164,0,"17072,24","192,1"
187,2/10/1999,6,36,41,44,48,58,0,397,39365,0,"23058,35","231,66"
188,10/10/1999,17,27,34,42,43,46,1,1200,90235,"64905517,65","11517,11","152,58"
189,16/10/1999,4,15,31,38,41,53,0,61,5485,0,"23476,18","260,09"
190,24/10/1999,5,10,21,32,40,42,0,304,21481,0,"14923,96","210,41"
191,31/10/1999,1,3,5,23,41,58,1,383,30477,"50968412,58","13212,41","165,41"
192,6/11/1999,1,26,28,41,54,60,0,53,4403,0,"23005,08","275,87"
193,13/11/1999,4,11,12,19,43,49,0,190,11415,0,"7199,87","119,39"
194,20/11/1999,25,28,32,33,42,43,0,106,7456,0,"12862,4","182,18"
195,27/11/1999,3,9,17,32,37,44,1,339,13819,"6370250,64","4005,56","97,89"
196,4/12/1999,7,9,14,17,24,32,0,182,10493,0,"5309,16","91,75"
197,11/12/1999,5,12,15,19,29,52,0,128,8720,0,"8259,15","120,78"
198,18/12/1999,1,8,18,23,35,40,0,125,7134,0,"8881,02","155,02"
199,24/12/1999,10,16,37,50,52,57,1,34,3143,"4915593,2","28316,55","305,16"
200,31/12/1999,12,15,19,34,44,51,2,186,13027,"8829389,2","11008,48","156,59"
201,8/1/2000,5,20,22,30,35,55,1,77,4502,"1038373,94","11237,81","191,48"
202,15/01/2000,12,24,44,45,49,53,0,65,4279,0,"12412,65","187,85"
203,22/01/2000,11,19,29,44,47,55,0,63,5417,0,"14099,33","163,36"
204,29/01/2000,29,31,39,41,51,58,0,32,2400,0,"30221,85","401,43"
205,5/2/2000,26,32,40,43,46,54,1,71,6014,"4490339,49","15208,03","178,86"
206,12/2/2000,18,20,26,34,51,56,0,43,3478,0,"17769,34","218,86"
207,19/02/2000,3,7,19,24,53,55,0,90,6510,0,"9663,76","133,1"
208,26/02/2000,15,23,24,25,47,57,0,72,5232,0,"12679,18","173,83"
209,4/3/2000,13,21,26,32,41,52,0,81,5496,0,"12349,82","181,32"
210,11/3/2000,20,32,37,38,48,58,0,29,3921,0,"46721,17","344,24"
211,18/03/2000,10,20,33,40,45,50,0,164,16680,0,"10880,27","106,58"
212,25/03/2000,6,15,29,45,57,59,0,147,9880,0,"13318,79","197,42"
213,1/4/2000,3,9,23,30,32,35,3,312,18348,"7089194,54","7299,77","123,66"
214,8/4/2000,6,12,30,31,35,50,0,54,3769,0,"15578,04","222,35"
215,15/04/2000,7,28,37,46,53,58,0,78,4942,0,"12078,4","189,92"
216,22/04/2000,14,18,30,35,42,59,4,91,5049,"801057,55","9745,75",175
217,29/04/2000,3,27,32,45,49,51,0,159,5820,0,"4599,62","125,19"
218,6/5/2000,12,17,40,42,47,54,1,95,4679,"1878255,09","8777,61","177,55"
219,13/05/2000,23,26,28,36,42,49,0,80,5139,0,"9221,78","143,02"
220,20/05/2000,13,14,36,53,55,60,1,125,8067,"12636751,12","12488,05","192,78"
